,age
744,28.0
745,28.0
746,26.0
747,55.0
748,29.0
749,45.0
750,27.0
751,31.0
752,51.0
753,50.0
754,27.0
755,18.0
756,39.0
757,46.0
758,19.0
759,62.0
760,49.0
761,31.0
762,38.0
763,40.0
764,35.0
765,34.0
766,44.0
767,23.0
768,43.0
770,31.0
771,27.0
772,46.0
773,18.0
774,59.0
775,57.0
776,15.0
777,25.0
778,50.0
779,31.0
780,35.0
781,27.0
782,20.0
783,27.0
784,45.0
785,33.0
786,22.0
787,28.0
788,31.0
789,28.0
790,53.0
791,30.0
792,39.0
793,40.0
794,30.0
795,21.0
796,35.0
797,21.0
798,47.0
799,38.0
800,36.0
801,53.0
803,34.0
804,34.0
805,30.0
806,28.0
807,47.0
808,49.0
809,36.0
810,45.0
811,21.0
812,18.0
813,25.0
814,29.0
815,57.0
816,34.0
817,35.0
819,18.0
820,62.0
821,29.0
822,25.0
823,30.0
824,33.0
825,56.0
826,49.0
827,20.0
828,62.0
829,62.0
830,6.0
831,30.0
832,57.0
833,18.0
834,47.0
835,48.0
836,20.0
837,30.0
838,36.0
839,51.0
840,55.0
841,48.0
842,20.0
843,25.0
844,26.0
845,45.0
846,35.0
847,63.0
848,34.0
849,36.0
850,22.0
851,31.0
852,25.0
853,57.0
854,32.0
855,42.0
856,52.0
857,25.0
858,25.0
859,31.0
860,39.0
861,32.0
862,16.0
863,24.0
864,28.0
865,25.0
866,41.0
867,28.0
868,21.0
869,30.0
870,58.0
871,47.0
872,25.0
873,44.0
874,34.0
875,27.0
876,34.0
877,39.0
878,29.0
879,24.0
880,47.0
881,45.0
882,28.0
883,49.0
884,50.0
885,45.0
886,32.0
887,24.0
888,23.0
889,52.0
890,37.0
891,26.0
892,58.0
893,50.0
894,22.0
895,53.0
896,69.0
897,23.0
898,29.0
899,25.0
900,18.0
901,31.0
902,23.0
903,18.0
904,35.0
905,27.0
906,28.0
907,26.0
908,32.0
909,36.0
910,66.0
911,47.0
912,21.0
913,24.0
914,51.0
915,60.0
916,61.0
917,38.0
918,35.0
919,46.0
920,48.0
921,36.0
922,33.0
923,66.0
924,51.0
925,34.0
926,55.0
927,54.0
929,36.0
930,25.0
931,24.0
932,28.0
933,36.0
934,20.0
935,49.0
937,51.0
938,21.0
939,30.0
940,32.0
941,33.0
942,52.0
943,56.0
944,48.0
945,39.0
946,19.0
947,45.0
948,33.0
949,51.0
951,25.0
952,24.0
953,22.0
954,32.0
955,58.0
956,24.0
957,26.0
958,30.0
959,31.0
960,34.0
961,48.0
963,21.0
964,39.0
965,25.0
966,30.0
967,61.0
968,56.0
969,29.0
970,19.0
971,35.0
972,36.0
973,54.0
974,24.0
975,23.0
976,18.0
977,31.0
978,41.0
979,55.0
980,19.0
981,38.0
982,36.0
983,34.0
984,52.0
985,28.0
986,50.0
988,55.0
989,39.0
990,23.0
991,30.0
992,37.0
993,54.0
994,37.0
995,30.0
996,27.0
997,22.0
998,29.0
999,39.0
1000,33.0
1001,52.0
1002,28.0
1003,54.0
1004,38.0
1005,32.0
1006,34.0
1007,26.0
1008,50.0
1009,37.0
1010,45.0
1011,56.0
1012,45.0
1013,32.0
1014,12.0
1015,49.0
1016,58.0
1017,29.0
1018,60.0
1019,40.0
1020,39.0
1021,26.0
1022,24.0
1023,34.0
1024,27.0
1025,44.0
1026,25.0
1027,55.0
1028,19.0
1029,52.0
1030,24.0
1031,38.0
1032,31.0
1033,26.0
1034,33.0
1035,28.0
1036,27.0
1037,39.0
1038,29.0
1039,36.0
1040,55.0
1041,28.0
1042,40.0
1043,33.0
1044,37.0
1045,39.0
1046,43.0
1047,38.0
1048,55.0
1049,52.0
1050,32.0
1051,31.0
1052,27.0
1053,40.0
1054,31.0
1055,30.0
1056,26.0
1057,32.0
1058,33.0
1059,19.0
1060,33.0
1061,29.0
1062,41.0
1063,29.0
1064,38.0
1065,64.0
1066,42.0
1067,42.0
1068,37.0
1069,46.0
1070,25.0
1071,62.0
1072,36.0
1073,21.0
1074,30.0
1075,53.0
1076,31.0
1077,22.0
1078,24.0
1079,36.0
1080,47.0
1081,54.0
1082,43.0
1083,38.0
1084,30.0
1085,51.0
1086,55.0
1087,16.0
1088,23.0
1089,36.0
1090,27.0
1091,33.0
1092,17.0
1093,22.0
1094,22.0
1095,29.0
1096,41.0
1097,67.0
1098,36.0
1099,52.0
1100,56.0
1101,35.0
1102,45.0
1103,30.0
1104,29.0
1105,53.0
1106,32.0
1107,22.0
1108,29.0
1109,24.0
1110,19.0
1111,26.0
1112,50.0
1113,29.0
1114,52.0
1115,39.0
1116,51.0
1117,48.0
1118,30.0
1119,37.0
1120,25.0
1121,30.0
1122,35.0
1123,32.0
1124,35.0
1125,31.0
1126,30.0
1127,23.0
1128,41.0
1129,45.0
1130,46.0
1131,36.0
1132,31.0
1133,32.0
1134,38.0
1135,33.0
1136,45.0
1137,38.0
1138,22.0
1139,48.0
1140,36.0
1141,39.0
1142,26.0
1143,16.0
1144,58.0
1145,27.0
1146,26.0
1147,21.0
1148,37.0
1149,56.0
1150,19.0
1151,38.0
1152,18.0
1153,35.0
1154,23.0
1155,41.0
1156,44.0
1157,24.0
1158,39.0
1159,22.0
1160,37.0
1161,36.0
1162,41.0
1163,27.0
1164,66.0
1165,30.0
1166,34.0
1167,22.0
1168,51.0
1169,42.0
1170,41.0
1171,49.0
1172,45.0
1173,45.0
1174,42.0
1175,41.0
1176,27.0
1177,37.0
1178,22.0
1179,21.0
1180,50.0
1181,23.0
1182,25.0
1183,51.0
1184,46.0
1185,23.0
1186,37.0
1187,20.0
1188,43.0
1189,45.0
1190,16.0
1191,30.0
1192,26.0
1193,24.0
1194,38.0
1195,28.0
1196,29.0
1197,34.0
1198,38.0
1199,43.0
1200,23.0
1201,33.0
1202,40.0
1203,38.0
1204,53.0
1205,29.0
1206,30.0
1207,49.0
1208,60.0
1209,25.0
1210,24.0
1211,21.0
1212,23.0
1213,61.0
1214,54.0
1215,62.0
1216,16.0
1217,76.0
1218,25.0
1219,28.0
1220,25.0
1221,33.0
1222,51.0
1223,34.0
1224,30.0
1225,44.0
1226,24.0
1227,29.0
1228,48.0
1229,19.0
1230,22.0
1231,39.0
1232,36.0
1233,55.0
1234,46.0
1235,34.0
1236,27.0
1237,33.0
1238,18.0
1239,33.0
1240,46.0
1241,51.0
1242,50.0
1243,33.0
1244,25.0
1245,52.0
1246,31.0
1247,18.0
1248,43.0
1249,34.0
1250,65.0
1251,37.0
1252,30.0
1253,48.0
1254,36.0
1255,25.0
1256,69.0
1257,50.0
1258,52.0
1259,44.0
1260,60.0
1261,40.0
1262,20.0
1263,45.0
1264,44.0
1265,40.0
1266,25.0
1267,43.0
1268,27.0
1269,19.0
1270,39.0
1271,30.0
1272,28.0
1273,22.0
1274,16.0
1275,40.0
1276,38.0
1277,20.0
1278,35.0
1279,52.0
1280,26.0
1281,54.0
1282,38.0
1283,52.0
1284,26.0
1285,53.0
1286,35.0
1287,22.0
1288,31.0
1289,32.0
1290,37.0
1291,28.0
1292,18.0
1293,41.0
1294,15.0
1295,38.0
1296,41.0
1297,52.0
1298,48.0
1299,29.0
1300,51.0
1301,21.0
1302,24.0
1303,18.0
1304,30.0
1305,33.0
1306,60.0
1307,28.0
1308,26.0
1309,24.0
1310,44.0
1311,36.0
1312,34.0
1313,21.0
1314,37.0
1315,53.0
1316,45.0
1317,24.0
1318,48.0
1319,42.0
1320,33.0
1321,55.0
1322,28.0
1323,25.0
1324,28.0
1325,52.0
1326,59.0
1327,52.0
1328,39.0
1329,18.0
1330,40.0
1331,36.0
1332,38.0
1333,26.0
1335,29.0
1336,37.0
1337,29.0
1338,21.0
1339,33.0
1340,33.0
1341,23.0
1342,26.0
1343,59.0
1344,29.0
1345,28.0
1346,35.0
1347,33.0
1348,24.0
1350,28.0
1351,19.0
1352,43.0
1353,59.0
1354,34.0
1355,35.0
1356,23.0
1357,36.0
1358,46.0
1359,44.0
1360,20.0
1361,30.0
1362,29.0
1363,35.0
1364,36.0
1365,22.0
1366,31.0
1367,63.0
1368,38.0
1369,31.0
1370,27.0
1371,35.0
1372,22.0
1373,28.0
1374,26.0
1375,22.0
1376,57.0
1377,31.0
1378,43.0
1379,24.0
1380,29.0
1381,43.0
1383,21.0
1384,19.0
1386,25.0
1387,59.0
1388,50.0
1389,58.0
1390,25.0
1391,32.0
1392,53.0
1393,38.0
1394,70.0
1395,33.0
1396,36.0
1398,21.0
1399,51.0
1400,43.0
1401,18.0
1402,33.0
1403,34.0
1404,31.0
1405,35.0
1406,31.0
1407,31.0
1408,23.0
1409,25.0
1410,25.0
1411,21.0
1412,49.0
1413,63.0
1414,43.0
1415,34.0
1416,38.0
1417,52.0
1418,68.0
1420,31.0
1421,29.0
1422,32.0
1423,50.0
1424,27.0
1425,31.0
1426,29.0
1427,23.0
1428,61.0
1429,33.0
1430,18.0
1431,80.0
1432,43.0
1433,50.0
1434,47.0
1435,54.0
1436,22.0
1437,43.0
1438,38.0
1439,21.0
1440,36.0
1441,30.0
1443,34.0
1444,17.0
1445,37.0
1446,25.0
1447,30.0
1448,23.0
1449,20.0
1450,19.0
1451,50.0
1452,24.0
1453,25.0
1454,20.0
1455,37.0
1456,44.0
1457,22.0
1458,31.0
1459,25.0
1461,29.0
1462,36.0
1463,50.0
1464,42.0
1465,42.0
1466,26.0
1467,19.0
1468,59.0
1469,36.0
1471,51.0
1472,27.0
1473,22.0
1474,30.0
1475,28.0
1476,63.0
1477,32.0
1478,26.0
1479,25.0
1480,27.0
1481,61.0
1482,30.0
1484,37.0
1485,41.0
1486,25.0
1487,24.0
1488,44.0
1489,63.0
1490,30.0
1491,58.0
1492,35.0
1493,50.0
1494,40.0
1496,19.0
1497,34.0
1498,18.0
1499,21.0
1501,37.0
1502,29.0
1503,49.0
1504,24.0
1505,32.0
1506,65.0
1507,37.0
1508,33.0
1509,63.0
1510,30.0
1511,40.0
1512,38.0
1513,50.0
1514,41.0
1515,41.0
1516,39.0
1517,44.0
1518,23.0
1519,32.0
1520,56.0
1521,33.0
1522,63.0
1523,31.0
1524,26.0
1525,57.0
1526,39.0
1527,43.0
1528,42.0
1529,29.0
1530,56.0
1531,31.0
1532,50.0
1533,36.0
1534,50.0
1535,34.0
1536,49.0
1537,31.0
1538,36.0
1539,29.0
1540,32.0
1541,18.0
1542,50.0
1543,36.0
1544,33.0
1545,17.0
1546,19.0
1547,24.0
1548,24.0
1549,20.0
1550,41.0
1551,47.0
1552,18.0
1553,31.0
1554,27.0
1555,36.0
1556,59.0
1557,40.0
1558,32.0
1559,38.0
1560,18.0
1561,32.0
1562,23.0
1563,43.0
1564,67.0
1565,22.0
1566,31.0
1567,43.0
1568,34.0
1569,51.0
1570,31.0
1571,54.0
1572,69.0
1573,58.0
1574,26.0
1575,31.0
1576,59.0
1577,25.0
1578,20.0
1579,69.0
1580,57.0
1581,56.0
1582,64.0
1583,34.0
1584,45.0
1585,14.0
1586,44.0
1587,54.0
1588,59.0
1589,33.0
1590,22.0
1591,49.0
1592,36.0
1593,23.0
1594,38.0
1595,53.0
1596,29.0
1597,42.0
1598,25.0
1599,18.0
1600,55.0
1601,36.0
1602,32.0
1603,53.0
1604,30.0
1605,27.0
1606,37.0
1607,29.0
1608,40.0
1609,36.0
1610,38.0
1611,29.0
1612,59.0
1613,47.0
1614,22.0
1615,31.0
1616,29.0
1617,54.0
1618,71.0
1619,36.0
1620,34.0
1621,49.0
1622,36.0
1623,43.0
1624,53.0
1625,63.0
1626,31.0
1627,32.0
1628,41.0
1629,26.0
1630,49.0
1631,82.0
1632,37.0
1633,24.0
1634,56.0
1635,35.0
1636,28.0
1637,36.0
1638,22.0
1639,59.0
1640,36.0
1641,21.0
1642,38.0
1643,60.0
1644,18.0
1645,23.0
1647,38.0
1648,40.0
1649,22.0
1650,38.0
1651,25.0
1652,25.0
1653,36.0
1656,44.0
1657,36.0
1658,35.0
1659,25.0
1660,65.0
1661,31.0
1662,70.0
1663,25.0
1664,55.0
1665,35.0
1666,25.0
1667,32.0
1668,38.0
1669,32.0
1670,64.0
1671,55.0
1672,69.0
1673,37.0
1674,31.0
1675,86.0
1676,25.0
1677,25.0
1678,13.0
1679,32.0
1680,34.0
1681,69.0
1682,46.0
1683,40.0
1684,29.0
1685,29.0
1686,42.0
1687,25.0
1688,45.0
1689,55.0
1690,22.0
1691,61.0
1692,46.0
1693,30.0
1694,56.0
1695,35.0
1696,22.0
1697,23.0
1698,43.0
1699,43.0
1700,49.0
1701,23.0
1702,41.0
1703,33.0
1704,30.0
1705,25.0
1706,52.0
1707,32.0
1708,46.0
1709,48.0
1710,38.0
1711,26.0
1712,32.0
1713,28.0
1714,53.0
1715,38.0
1716,18.0
1717,32.0
1718,37.0
1719,18.0
1720,20.0
1721,28.0
1722,18.0
1723,16.0
1724,36.0
1725,57.0
1726,49.0
1727,31.0
1728,26.0
1729,51.0
1730,28.0
1731,35.0
1732,57.0
1733,36.0
1734,42.0
1736,49.0
1737,62.0
1738,21.0
1739,39.0
1740,53.0
1741,41.0
1742,40.0
1743,50.0
1744,27.0
1745,19.0
1746,26.0
1747,44.0
1748,30.0
1749,31.0
1750,33.0
1751,22.0
1752,50.0
1753,46.0
1754,38.0
1755,23.0
1756,24.0
1757,26.0
1758,38.0
1759,26.0
1760,32.0
1761,50.0
1762,17.0
1763,39.0
1764,28.0
1765,66.0
1766,42.0
1767,34.0
1768,38.0
1769,24.0
1770,28.0
1771,29.0
1772,58.0
1773,23.0
1774,21.0
1775,45.0
1776,38.0
1777,40.0
1778,19.0
1779,46.0
1780,25.0
1781,25.0
1782,37.0
1783,25.0
1784,36.0
1785,32.0
1786,33.0
1787,24.0
1788,37.0
1789,38.0
1790,45.0
1791,31.0
1792,34.0
1793,23.0
1794,38.0
1795,39.0
1796,55.0
1797,31.0
1798,76.0
1799,59.0
1800,40.0
1801,23.0
1802,64.0
1803,56.0
1804,26.0
1805,35.0
1806,49.0
1807,36.0
1808,56.0
1809,59.0
1810,34.0
1811,33.0
1812,43.0
1813,43.0
1814,31.0
1815,17.0
1816,32.0
1817,31.0
1818,19.0
1819,23.0
1820,26.0
1821,45.0
1822,36.0
1823,41.0
1824,53.0
1826,24.0
1828,47.0
1829,40.0
1830,29.0
1831,38.0
1832,22.0
1833,21.0
1834,25.0
1835,37.0
1836,48.0
1837,37.0
1838,56.0
1839,35.0
1840,25.0
1841,25.0
1842,48.0
1843,26.0
1844,29.0
1845,15.0
1846,55.0
1847,21.0
1848,24.0
1849,18.0
1850,19.0
1851,27.0
1852,45.0
1853,36.0
1854,34.0
1855,23.0
1856,43.0
1857,43.0
1858,19.0
1859,45.0
1860,37.0
1861,23.0
1862,26.0
1863,20.0
1864,50.0
1865,59.0
1866,33.0
1867,48.0
1868,18.0
1869,23.0
1870,41.0
1871,41.0
1872,55.0
1873,29.0
1874,31.0
1875,25.0
1876,38.0
1878,83.0
1879,22.0
1880,33.0
1881,36.0
1882,38.0
1883,26.0
1884,29.0
1885,55.0
1886,47.0
1887,52.0
1888,49.0
1889,31.0
1890,37.0
1891,37.0
1892,36.0
1893,20.0
1895,30.0
1897,35.0
1898,35.0
1899,36.0
1900,53.0
1901,39.0
1902,30.0
1903,44.0
1904,24.0
1905,73.0
1906,31.0
1907,28.0
1908,18.0
1909,32.0
1910,60.0
